#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
n1cncc(nc2)c1[nH]2				Ring2_71_2	119.1041	[n;X2;R1]1[c;X3;R1;!$(c=O)][n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)][c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)]2)[c;X3;R2]1[n;X3;R1]2	[n;X3;R1]4[c;X3;R2]3[c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)]4)[c;X3;R1;!$(c=O);!$(c=S)][n;X2;R1][c;X3;R1;!$(c=O)][n;X2;R1]3	[n;X3;R1]6[c;X3;R2]5[c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)]6(y))[c;X3;R1;!$(c=O);!$(c=S)](y)[n;X2;R1][c;X3;R1;!$(c=O)](y)[n;X2;R1]5
n1c[nH]c(n2)c1cnc2				Ring2_71_3	119.1041	[n;X2;R1]1[c;X3;R1;!$(c=O)][n;X3;R1][c;X3;R2]([n;X2;R1]2)[c;X3;R2]1[c;X3;R1;!$(c=O);!$(c=S)][n;X2;R1][c;X3;R1;!$(c=O)]2	[c;X3;R1;!$(c=O)]4[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)][c;X3;R2]3[c;X3;R2]([n;X2;R1]4)[n;X3;R1][c;X3;R1;!$(c=O)][n;X2;R1]3	[c;X3;R1;!$(c=O)]6[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[c;X3;R2]5[c;X3;R2]([n;X2;R1]6)[n;X3;R1](y)[c;X3;R1;!$(c=O)](y)[n;X2;R1]5
n1c[nH]c(ncn2)c1c2				Ring2_71_4	119.1041	[n;X2;R1]1[c;X3;R1;!$(c=O)][n;X3;R1][c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)][n;X2;R1]2)[c;X3;R2]1[c;X3;R1;!$(c=O);!$(c=S)]2	[c;X3;R1;!$(c=O);!$(c=S)]4[c;X3;R2]3[c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)][n;X2;R1]4)[n;X3;R1][c;X3;R1;!$(c=O)][n;X2;R1]3	[c;X3;R1;!$(c=O);!$(c=S)]6[c;X3;R2]5[c;X3;R2]([n;X2;R1][c;X3;R1;!$(c=O)](y)[n;X2;R1]6)[n;X3;R1](y)[c;X3;R1;!$(c=O)](y)[n;X2;R1]5
o1c2ccccc2nc1					Ring2_73_1	119.1207	[o;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)]1					[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1]3					[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1]5
c12ncoc2cccc1					Ring2_73_2	119.1207	[c;X3;R2]12[n;R1][c;X3;R1;!$(c=O)][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]56
c1c2ncoc2ccc1					Ring2_73_3	119.1207	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]6[c;X3;R1]5(y)
c1c2ocnc2ccc1					Ring2_73_4	119.1207	[c;X3;R1]1[c;X3;R2]2[o;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O)][o;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O)](y)[o;R1][c;X3;R2]6[c;X3;R1]5(y)
c12ocnc2cccc1					Ring2_73_5	119.1207	[c;X3;R2]12[o;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O)][o;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O)](y)[o;R1][c;X3;R2]56
c1ccc2c(c1)onc2					Ring2_74_1	119.1207	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[o;R1][n;R1][c;X3;R1]2					[c;X3;R1]4[n;R1][o;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]6[n;R1][o;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12cnoc2cccc1					Ring2_74_2	119.1207	[c;X3;R2]12[c;X3;R1][n;R1][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][n;R1][c;X3;R1][c;X3;R2]34						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][n;R1][c;X3;R1](y)[c;X3;R2]56
c1c2cnoc2ccc1					Ring2_74_3	119.1207	[c;X3;R1]1[c;X3;R2]2[c;X3;R1][n;R1][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][n;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][n;R1][c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2oncc2ccc1					Ring2_74_4	119.1207	[c;X3;R1]1[c;X3;R2]2[o;R1][n;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][n;R1][o;R1][c;X3;R2]4[c;X3;R1]3						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[n;R1][o;R1][c;X3;R2]6[c;X3;R1]5(y)
c12oncc2cccc1					Ring2_74_5	119.1207	[c;X3;R2]12[o;R1][n;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][n;R1][o;R1][c;X3;R2]34						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[n;R1][o;R1][c;X3;R2]56
c1ccc2c(c1)OCC2					Ring2_90_1	120.1485	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[O;R1][C;X4;R1][C;X4;R1]2					[C;X4;R1]4[C;X4;R1][O;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3					[C;X4;R1]6[C;X4;R1](y)[O;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12CCOc2cccc1					Ring2_90_2	120.1485	[c;X3;R2]12[C;X4;R1][C;X4;R1][O;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1][C;X4;R1][C;X4;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1][C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]56
c1c2CCOc2ccc1					Ring2_90_3	120.1485	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X4;R1][O;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1][C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2OCCc2ccc1					Ring2_90_4	120.1485	[c;X3;R1]1[c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1]5(y)
c12OCCc2cccc1					Ring2_90_5	120.1485	[c;X3;R2]12[O;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][O;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]56
O1c2ccccc2CC1					Ring2_90_6	120.1485	[O;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1]1					[C;X4;R1]3[C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1]3					[C;X4;R1]5[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1]5
C1Oc2c(O1)cccc2					Ring2_97_1	122.1213	[C;X4;R1]1[O;R1][c;X3;R2]2[c;X3;R2]([O;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([O;R1]3)[c;X3;R2]4[O;R1][C;X4;R1]3					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([O;R1]5)[c;X3;R2]6[O;R1][C;X4;R1]5(y)
c1c2OCOc2ccc1					Ring2_97_2	122.1213	[c;X3;R1]1[c;X3;R2]2[O;R1][C;X4;R1][O;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1][C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1]3						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1][C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1]5(y)
O1c2ccccc2OC1					Ring2_97_3	122.1213	[O;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[O;R1][C;X4;R1]1						[C;X4;R1]3[O;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1]3						[C;X4;R1]5[O;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1]5
c1ccc2c(c1)cccc2				Ring2_132_1	128.1705	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3			[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cccc(cc2)c1cc2				Ring2_132_2	128.1705	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1]4)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3			[c;X3;R1]6[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1ccc2c(c1)cncc2				Ring2_137_1	129.1586	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3			[c;X3;R1]6[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
n1cc2ccccc2cc1					Ring2_137_2	129.1586	[n;R1]1[c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1]1			[c;X3;R1]3[c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1]3			[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1]5
c12ccccc2ccnc1					Ring2_137_3	129.1586	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O)]1			[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34			[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c12cnccc2cccc1					Ring2_137_4	129.1586	[c;X3;R2]12[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1			[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]34			[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]56
c1c2cnccc2ccc1					Ring2_137_5	129.1586	[c;X3;R1]1[c;X3;R2]2[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1			[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]4[c;X3;R1]3			[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2ccncc2ccc1					Ring2_137_6	129.1586	[c;X3;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1			[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3			[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12ccncc2cccc1					Ring2_137_7	129.1586	[c;X3;R2]12[c;X3;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1			[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1][c;X3;R2]34			[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1ccc2c(c1)nccc2				Ring2_138_1	129.1586	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[n;R1][c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1][c;X3;R1;!$(c=O)]2	[c;X3;R1;!$(c=O)]4[c;X3;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3	[c;X3;R1;!$(c=O)]6[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cccc(c2)c1ncc2				Ring2_138_2	129.1586	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1;!$(c=O)]2)[c;X3;R2]1[n;R1][c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1]2	[c;X3;R1]4[c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1;!$(c=O)]4)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3	[c;X3;R1]6[c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1][c;X3;R2]5[c;X3;R2]([c;X3;R1;!$(c=O)]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cccc(cc2)c1nc2				Ring2_138_3	129.1586	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1;!$(c=O)][c;X3;R1]2)[c;X3;R2]1[n;R1][c;X3;R1;!$(c=O);!$(c=C)]2	[c;X3;R1;!$(c=O);!$(c=C)]4[n;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1;!$(c=O)][c;X3;R1]4)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3	[c;X3;R1;!$(c=O);!$(c=C)]6[n;R1][c;X3;R2]5[c;X3;R2]([c;X3;R1;!$(c=O)](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
n1cccc(c2)c1ccc2				Ring2_138_4	129.1586	[n;R1]1[c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1][c;X3;R1;!$(c=O)][c;X3;R2]([c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1]2	[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1]4)[c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1]3	[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1]6(y))[c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1]5
n1cccc(cc2)c1cc2				Ring2_138_5	129.1586	[n;R1]1[c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1][c;X3;R1;!$(c=O)][c;X3;R2]([c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1]2	[c;X3;R1]4[c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1]4)[c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1]3	[c;X3;R1]6[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1]5
n1cccc(ccc2)c1c2				Ring2_138_6	129.1586	[n;R1]1[c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1][c;X3;R1;!$(c=O)][c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1]2	[c;X3;R1]4[c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]4)[c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1]3	[c;X3;R1]6[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1]5
c1ccnc(ccc2)c1c2				Ring2_138_7	129.1586	[c;X3;R1;!$(c=O)]1[c;X3;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1]2	[c;X3;R1]4[c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]4)[n;R1][c;X3;R1;!$(c=O);!$(c=C)][c;X3;R1][c;X3;R1;!$(c=O)]3	[c;X3;R1]6[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]6(y))[n;R1][c;X3;R1;!$(c=O);!$(c=C)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O)]5(y)
C12SCCN2C(=O)C1					Ring2_139_1	129.180		[C;X4;R2]12[S;R1;!$(S=O)][C;X4;R1][C;X4;R1][N;R2]2[C;X3;R1](=O)[C;X4;R1]1						[C;X4;R1]3[C;X3;R1](=O)[N;R2]4[C;X4;R1][C;X4;R1][S;R1;!$(S=O)][C;X4;R2]34						[C;X4;R1]5[C;X3;R1](=O)[N;R2]6[C;X4;R1](y)[C;X4;R1](y)[S;R1;!$(S=O)][C;X4;R2]56(y)
S1CCN2C(=O)CC12					Ring2_139_2	129.180		[S;R1;!$(S=O)]1[C;X4;R1][C;X4;R1][N;R2]2[C;X3;R1](=O)[C;X4;R1][C;X4;R2]12						[C;X4;R2]34[C;X4;R1][C;X3;R1](=O)[N;R2]4[C;X4;R1][C;X4;R1][S;R1;!$(S=O)]3						[C;X4;R2]56[C;X4;R1](y)[C;X3;R1](=O)[N;R2]6[C;X4;R1](y)[C;X4;R1](y)[S;R1;!$(S=O)]5	
C1N2C(=O)CC2SC1					Ring2_139_3	129.180		[C;X4;R1]1[N;R2]2[C;X3;R1](=O)[C;X4;R1][C;X4;R2]2[S;R1;!$(S=O)][C;X4;R1]1						[C;X4;R1]3[S;R1;!$(S=O)][C;X4;R2]4[C;X4;R1][C;X3;R1](=O)[N;R2]4[C;X4;R1]3						[C;X4;R1]5[S;R1;!$(S=O)][C;X4;R2]6(y)[C;X4;R1](y)[C;X3;R1](=O)[N;R2]6[C;X4;R1]5(y)
N12C(=O)CC2SCC1					Ring2_139_4	129.180		[N;R2]12[C;X3;R1](=O)[C;X4;R1][C;X4;R2]2[S;R1;!$(S=O)][C;X4;R1][C;X4;R1]1						[C;X4;R1]3[C;X4;R1][S;R1;!$(S=O)][C;X4;R2]4[C;X4;R1][C;X3;R1](=O)[N;R2]34						[C;X4;R1]5[C;X4;R1](y)[S;R1;!$(S=O)][C;X4;R2]6(y)[C;X4;R1](y)[C;X3;R1](=O)[N;R2]56
c1ccc2c(c1)ncnc2				Ring2_142_1	130.1466	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]2		[c;X3;R1;!$(c=O)]4[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3		[c;X3;R1;!$(c=O)]6[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
n1c2ccccc2cnc1					Ring2_142_2	130.1466	[n;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]1		[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1;!$(c=O)][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1]3		[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1]5
c12ncncc2cccc1					Ring2_142_3	130.1466	[c;X3;R2]12[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]34		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]56
